2025-09-08 14:59:58 [main] INFO  org.testng.internal.Utils - [TestNG] Running:
  /Users/nitinkumar/Library/Caches/JetBrains/IdeaIC2025.2/temp-testng-customsuite.xml

2025-09-08 14:59:59 [main] INFO  steps.Hooks - ChromeDriver initialized, window maximized, and cookies cleared.
2025-09-08 15:00:01 [main] INFO  page.methods.FormMethods - Navigated to URL: https://testing.qaautomationlabs.com/form.php
2025-09-08 15:00:01 [main] INFO  page.methods.FormMethods - Entered First Name: John
2025-09-08 15:00:01 [main] INFO  page.methods.FormMethods - Entered Middle Name: Middle
2025-09-08 15:00:01 [main] INFO  page.methods.FormMethods - Entered Last Name: Doe
2025-09-08 15:00:01 [main] INFO  page.methods.FormMethods - Entered Email: john.doe@example.com
2025-09-08 15:00:01 [main] INFO  page.methods.FormMethods - Entered Password: Test@1234
2025-09-08 15:00:01 [main] INFO  page.methods.FormMethods - Entered Address: 123 Main St
2025-09-08 15:00:01 [main] INFO  page.methods.FormMethods - Entered City: Los Angeles
2025-09-08 15:00:01 [main] INFO  page.methods.FormMethods - Entered State: California
2025-09-08 15:00:01 [main] INFO  page.methods.FormMethods - Entered Pin Code: 90001
2025-09-08 15:00:01 [main] INFO  page.methods.FormMethods - Form submitted successfully!
2025-09-08 15:00:01 [main] INFO  page.methods.FormMethods - Form submission verification executed.
2025-09-08 15:00:01 [main] INFO  steps.Hooks - Scenario 'Fill user form and submit' passed.
2025-09-08 15:00:01 [main] INFO  steps.Hooks - ChromeDriver quit successfully.
